key,name,iataCode,webSite,type,foundationMoment,email,contactPhone
airline-27,"Barajas","ABC","http://www.lorem-ipsum.org/dolor/sit/amet;/consectetur/adipiscing/elit;/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-28,"Barajas","ABC","http://www.lorem-ipsum.org/dolor/sit/amet;/consectetur/adipiscing/elit;/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-29,"Barajas","ABC","https://www.lorem-ipsum.org",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-30,"Barajas","ABC","ftp://www.lorem-ipsum.org",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-31,"Barajas","ABC","http://www.lorem-ipsum.org/dolor/sit.html",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-32,"Barajas","ABC","http://www.lorem-ipsum.org/dolor/sit.html#dolor",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-33,"Barajas","ABC","http://example.org?a=1&b=2",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-34,"Barajas","ABC","http://example.org?",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-35,"Barajas","ABC","http://example.org?a",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-36,"Barajas","ABC","http://example.org?a&b",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-37,"Barajas","ABC","http://example.org/",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-38,"Barajas","ABC","http://example.org/a",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-39,"Barajas","ABC","http://example.org/a/b",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-40,"Barajas","ABC","http://example.org/a/b?",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-41,"Barajas","ABC","http://example.org/a/b?a&b",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-42,"Barajas","ABC","ftp://",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-43,"Barajas","ABC","http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/XYZW",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"

# restricciones type
airline-44,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-45,"Barajas","ABC","http://barajasaeropuerto.com",STANDARD,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-46,"Barajas","ABC","http://barajasaeropuerto.com",LOW_COST,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"

# restricciones foundationMoment
# valor medio
airline-47,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2012/07/02 00:00,"aeropuerto@acme.com","+34987654321"
# vacío
airline-48,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,,"aeropuerto@acme.com","+34987654321"
# valor mínimo - delta
airline-49,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,1999/12/31 23:59,"aeropuerto@acme.com","+34987654321"
# valor mínimo
airline-50,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2000/01/01 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo + delta
airline-51,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2000/01/01 00:01,"aeropuerto@acme.com","+34987654321"
# valor máximo - delta
airline-52,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2024/12/31 23:59,"aeropuerto@acme.com","+34987654321"
# valor máximo
airline-53,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2025/01/01 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo + delta
airline-54,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2025/01/01 00:01,"aeropuerto@acme.com","+34987654321"

# restricciones email
# valor medio
airline-55,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
# singular
airline-56,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-57,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"acme:password@lorem-ipsum.org","+34987654321"
airline-58,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"a@b.e","+34987654321"
airline-59,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"a@b.es","+34987654321"
airline-60,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"a@b.esx","+34987654321"
airline-61,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","+34987654321"
airline-62,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.est.com","+34987654321"

# restriccions contactPhone
# valor medio
airline-63,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+349876543210"
# vacío
airline-64,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com",""
# valor mínimo - delta
airline-65,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+3412345"
# valor mínimo
airline-66,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34123456"
# valor mínimo + delta
airline-67,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+341234567"
# valor máximo - delta
airline-68,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+3412345678912345"
# valor máximo
airline-69,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34123456789123456"
# valor máximo + delta
airline-70,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+341234567891234567"

