key,name,iataCode,operationalScope,city,country,website,email,phoneNumber
airport-33,"Airport1","ABC",REGIONAL,"Seville","โลเร็ม อิปซัม","ftp://a","prueba@gmail.com","+34987654321"
airport-34,"Airport1","ABC",REGIONAL,"Seville","لوريم إيبسوم","ftp://a","prueba@gmail.com","+34987654321"
airport-35,"Airport1","ABC",REGIONAL,"Seville","洛伦·伊普森","ftp://a","prueba@gmail.com","+34987654321"
airport-36,"Airport1","ABC",REGIONAL,"Seville","<marquee>Hacked</marquee>","ftp://a","prueba@gmail.com","+34987654321"
airport-37,"Airport1","ABC",REGIONAL,"Seville","<script>alert(‘Hacked!’);</script>","ftp://a","prueba@gmail.com","+34987654321"
airport-38,"Airport1","ABC",REGIONAL,"Seville","' or 'A' = 'A ","ftp://a","prueba@gmail.com","+34987654321"

# website
airport-39,"Airport1","ABC",REGIONAL,"Seville","Spain","http://lorem.com/ipsum","prueba@gmail.com","+34987654321"
airport-40,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-41,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a.b","prueba@gmail.com","+34987654321"
airport-42,"Airport1","ABC",REGIONAL,"Seville","Spain","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","prueba@gmail.com","+34987654321"
airport-43,"Airport1","ABC",REGIONAL,"Seville","Spain","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X","prueba@gmail.com","+34987654321"
airport-44,"Airport1","ABC",REGIONAL,"Seville","Spain","https://www.lorem-ipsum.org","prueba@gmail.com","+34987654321"
airport-45,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://www.lorem-ipsum.org","prueba@gmail.com","+34987654321"
airport-46,"Airport1","ABC",REGIONAL,"Seville","Spain","http://www.lorem-ipsum.org/dolor/sit.html","prueba@gmail.com","+34987654321"
airport-47,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org?a=1&b=2","prueba@gmail.com","+34987654321"
airport-48,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org?","prueba@gmail.com","+34987654321"
airport-49,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org?a","prueba@gmail.com","+34987654321"
airport-50,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org/","prueba@gmail.com","+34987654321"
airport-51,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org/a","prueba@gmail.com","+34987654321"
airport-52,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org/a/b","prueba@gmail.com","+34987654321"
airport-53,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org/a/b?","prueba@gmail.com","+34987654321"
airport-54,"Airport1","ABC",REGIONAL,"Seville","Spain","http://example.org/a/b?a&b","prueba@gmail.com","+34987654321"

# email
airport-55,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","acme@lorem-ipsum.org","+34987654321"
airport-56,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","acmepassword@lorem-ipsum.org","+34987654321"
airport-57,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","a@b.e","+34987654321"
airport-58,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","a@b.es","+34987654321"
airport-59,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","a@b.esx","+34987654321"
airport-60,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","+34987654321"

# phoneNumber

airport-61,"Airport2","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+3498765432"
airport-62,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+349876"
airport-63,"Airport2","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+3498765"
airport-64,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321234"
airport-65,"Airport2","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+349876543212345"
